Image,PSNR,SSIM,MAE
Patient_001_2,42.30587312329301,0.993232960486389,0.0008339875663807189
Patient_001_3,41.81901042763947,0.9937340482405886,0.0008193471073325164
Patient_001_4,40.995070909611485,0.991108340901258,0.0009909835516237746
Patient_001_5,41.56269467312282,0.992911933352421,0.0009137122459660948
Patient_001_6,41.21120807414157,0.9925420087100975,0.0009076486226000817
Patient_002_1,41.684135646338916,0.9948555906100651,0.0009173025492749182
Patient_002_2,38.91745023254346,0.991597142040451,0.0013010062423406863
Patient_002_3,39.83299719772402,0.9940850623340625,0.0010951621859681372
Patient_003_1,41.51964949545022,0.9926908069887888,0.000981848224315768
Patient_003_2,40.2604135253707,0.9903230806781519,0.0013685837290645425
Patient_003_3,39.49228404768447,0.9911408730227723,0.0013559378829656862
Patient_003_4,40.06677203649794,0.9909361503712198,0.0012297985600490196
Patient_004_2,41.385933779338366,0.9932387210698459,0.0009412379046670752
Patient_004_3,42.798153637034694,0.9941374166800472,0.0008532555274714053
Patient_005_4,34.97034000518908,0.982265985381107,0.0022196850745506533
Patient_005_5,36.437280068462165,0.9847403717968005,0.0019496543734681372
Patient_006_5,36.95350792682005,0.9850346797595163,0.0021588094873366014
Patient_006_6,37.81637171476423,0.9862396223158448,0.0019355923521752448
Patient_007_5,39.22947184747793,0.9849678059755785,0.0015918607026143789
Patient_007_6,38.78818741300654,0.9838923631618912,0.001767007665696487
Patient_007_7,39.049251167662845,0.9856077655307525,0.001636899063010621
Patient_008_1,33.94630506078079,0.976048724392605,0.003106489991830065
Patient_008_2,34.6816812917818,0.9809109372832543,0.002657143586601307
Patient_008_3,34.464380855605455,0.9790807621315144,0.002736349666819853
Patient_009_1,39.57370656193295,0.9897805654116171,0.0014697106055964054
Patient_009_5,39.66590399648916,0.9885676756487592,0.0013517491957720587
Patient_009_6,41.80023270362787,0.9916299996613688,0.0010700300628063723
Patient_010_5,36.76231887745987,0.9879102667532097,0.0018827351090175651
Patient_010_6,37.88994623677827,0.9894965566765253,0.0016487071716707515
Patient_011_4,36.606790332189775,0.9836663840352665,0.0023210513046364374
Patient_011_5,35.374365393426,0.975998391134253,0.003417749342575572
Patient_011_6,36.46246195241905,0.9823152250127082,0.0023811689389297386
Patient_012_1,37.11317230490805,0.9836250360697999,0.002327773150275735
Patient_012_2,38.08049164923192,0.9838786194772521,0.002269490559895833
Patient_012_3,37.27662086072026,0.9826789602189532,0.0023415359796262252
Patient_013_4,37.467658500717555,0.9826086901492982,0.0025057724098754086
Patient_013_5,39.812666496823155,0.9886297790590012,0.0015932569316789217
Patient_013_6,37.24318287319166,0.9843622174977787,0.002375424453635621
Patient_014_3,40.06402350412688,0.9866160340221662,0.0015103408713745914
Patient_014_4,39.77351029922226,0.9875116744116331,0.001434026979932598
Patient_015_5,38.27206016750335,0.9888616970989985,0.001737686855341095
Patient_015_6,40.31543525039073,0.9931397739527248,0.0011098425372753266
Patient_015_7,37.75026330213055,0.988613495969902,0.001740459367340686
Patient_016_3,35.140170091473344,0.9785625690770775,0.002751608455882353
Patient_017_4,37.07673618594245,0.9865356098050824,0.0019520678551368466
Patient_017_5,37.92148636986235,0.9850035097970381,0.0018429425806781047
Patient_017_6,38.75564835938509,0.9906957828066628,0.0015100416794321895
Patient_017_7,39.10989685641508,0.9887487585761323,0.0015070298138786763
Patient_018_6,28.8037141336231,0.9677632195146207,0.00594719780815972
Patient_018_7,40.23140945191146,0.9871415937393508,0.0013440100975285944
Patient_018_8,39.131050713321294,0.9846727378181607,0.0015968871272467322
Patient_019_1,39.01038236051011,0.9872569405154145,0.001606182023590686
Patient_019_3,36.23208935242132,0.9822893624304568,0.0023217294730392157
Patient_020_3,37.550713225845186,0.9896599577403918,0.001497415779462827
Patient_021_5,38.3723305047245,0.9869937165451086,0.001793196933721405
Patient_022_1,37.620904465454295,0.9884240456723737,0.0016442392386642158
Patient_022_2,38.552555371467676,0.9894693801758856,0.0014975952946282677
Patient_022_3,39.113640170726136,0.9913460769167517,0.0013554791219873364
Patient_023_2,38.77416283778081,0.9891659893993866,0.0013170628765829249
Patient_023_3,38.928932031429355,0.988285877779134,0.001350731943167892
Patient_023_4,38.5319548915458,0.9862009146316337,0.0014419256472120098
Patient_024_5,37.488112767439446,0.9880553117327467,0.0018745970881842318
Patient_024_6,40.52582366011471,0.9921095136511248,0.0012314540887969772
Patient_025_4,36.94324334519558,0.9844366867771126,0.0020356022454554737
Patient_025_5,35.77428205481916,0.97990146088215,0.0025238037109375
Patient_025_6,36.71741255701775,0.9826546264846675,0.002122886508118872
Patient_026_1,40.99012272539889,0.9912271353538579,0.0010544321895424836
Patient_026_2,42.030549942619956,0.9923223273397359,0.0009075289458231208
Patient_026_3,42.289463287961254,0.992124733352237,0.000903759127348856
Patient_027_5,36.86536103657483,0.9837460195384199,0.0024398305057700157
Patient_027_6,39.27257304693818,0.9912265598378154,0.0012870040594362745
Patient_028_1,36.77165367003608,0.9904644486479509,0.0015890283522263073
Patient_028_10,38.00169239602096,0.9886632101631436,0.0018730013978247543
Patient_028_8,39.98928369733683,0.9890253772328051,0.0016426435483047385
Patient_028_9,39.14949756405381,0.9891126860108895,0.0016939250472324345
Patient_029_4,37.204682209668434,0.9837126990626687,0.0018145991306678922
Patient_029_6,35.591800524513616,0.9863316060800446,0.002247170840992647
Patient_030_5,40.94112570634736,0.9890095668210866,0.0009937161713643792
Patient_030_6,42.84091804227834,0.9936501217088018,0.0006791856553819445
Patient_030_7,41.296877112945296,0.9913119309370767,0.000965731751685049
Patient_031_4,40.19150700595123,0.9887548403723018,0.0012618320440155228
Patient_032_1,40.403425735715174,0.9911033423137398,0.0009388443691278596
Patient_032_5,40.32810028706179,0.991025008835776,0.0009223090277777779
Patient_032_6,41.84167319810901,0.992595206675078,0.0007440903607536763
